Sentence Index File 1,Sentence in File 1,Sentence Index File 2,Sentence in File 2,Similarity Score
0,Macrophage migration inhibitory factor is critical for dengue NS1-induced endothelial glycocalyx degradation and hyperpermeability,0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0.550595749083099
1,MIF in DENV NS1-induced endothelial glycocalyx degradation and hyperpermeability,47,MIF inhibition attenuates DENV NS1-induced endothelial glycocalyx degradation in mice.,0.5433068643874144
2,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
3,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",0,"Nonstructural protein 1 (NS1) of dengue virus (DENV) can stimulate endothelial cells to secrete endothelial hyperpermeability factor, macrophage migration inhibitory factor (MIF), and the glycocalyx degradation factor heparanase 1 (HPA-1).",1.0000000000000002
4,"However, it is unclear whether MIF is directly involved in NS1-induced glycocalyx degradation.",108,"However, the mechanism of how MIF causes HPA-1 and MMP-9 secretion is still unclear.",0.35825454969284276
5,"In this study, we observed that among NS1, MIF and glycocalyx degradation-related molecules, the HPA-1, metalloproteinase 9 (MMP-9) and syndecan 1 (CD138) serum levels were all increased in dengue patients, and only NS1 and MIF showed a positive correlation with the CD138 level in severe patients.",79,The results show that MIF increased CD138 shedding and the active HPA-1 level in HUVECs (S4A and S4B Fig).,0.25138342279122466
6,"In this study, we observed that among NS1, MIF and glycocalyx degradation-related molecules, the HPA-1, metalloproteinase 9 (MMP-9) and syndecan 1 (CD138) serum levels were all increased in dengue patients, and only NS1 and MIF showed a positive correlation with the CD138 level in severe patients.",79,The results show that MIF increased CD138 shedding and the active HPA-1 level in HUVECs (S4A and S4B Fig).,0.25138342279122466
7,"To further characterize and clarify the relationship between MIF and CD138, we used recombinant NS1 to stimulate human cells in vitro and challenge mice in vivo.",17,"To confirm that HPA-1 is involved in NS1-induced endothelial hyperpermeability and CD138 shedding, recombinant HPA-1 protein and the HPA-1 inhibitor OGT 2115 were used.",0.2475433704427664
8,"Our tabulated results suggested that NS1 stimulation could induce human endothelial cells to secrete HPA-1 and immune cells to secrete MMP-9, resulting in endothelial glycocalyx degradation and hyperpermeability.",6,"Our tabulated results suggested that NS1 stimulation could induce human endothelial cells to secrete HPA-1 and immune cells to secrete MMP-9, resulting in endothelial glycocalyx degradation and hyperpermeability.",1.0000000000000002
9,"Our tabulated results suggested that NS1 stimulation could induce human endothelial cells to secrete HPA-1 and immune cells to secrete MMP-9, resulting in endothelial glycocalyx degradation and hyperpermeability.",6,"Our tabulated results suggested that NS1 stimulation could induce human endothelial cells to secrete HPA-1 and immune cells to secrete MMP-9, resulting in endothelial glycocalyx degradation and hyperpermeability.",1.0000000000000002
10,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",73,"Moreover, HPA-1, MMP-9, and CD138 secretion after NS1 stimulation was blocked by MIF inhibitors or antibodies both in vitro and in mice.",1.0000000000000002
